Designator,Mid X,Mid Y,Rotation,Layer
AE2,173.26,-78.56,0.0,top
AE3,179.65,-121.25,180.0,top
BZ1,176.6,-111.7,270.0,top
C1,114.6,-75.15,0.0,top
C10,123.51,-87.14,180.0,top
C11,135.15,-90.25,270.0,top
C13,125.45,-93.47,270.0,top
C15,121.95,-83.15,90.0,top
C16,125.565,-112.015,0.0,top
C17,117.12,-103.59,270.0,top
C18,128.72,-81.74,270.0,top
C19,131.47,-82.15,45.0,top
C2,118.3275,-116.0425,180.0,top
C20,114.79,-103.64,270.0,top
C22,124.65,-105.7,180.0,top
C25,125.4,-81.4,270.0,top
C26,126.45,-81.4,270.0,top
C3,113.68,-103.64,270.0,top
C31,136.15,-81.75,270.0,top
C32,131.73,-101.39,90.0,top
C33,140.7,-87.9,270.0,top
C35,116.01,-103.6,270.0,top
C36,118.825,-121.915,270.0,top
C37,118.25,-91.275,180.0,top
C38,118.25,-87.85,180.0,top
C39,135.76,-83.91,0.0,top
C4,138.43,-85.07,0.0,top
C40,135.76,-84.91,0.0,top
C6,125.575,-110.815,0.0,top
C7,119.4,-94.45,180.0,top
C8,120.775,-114.68,180.0,top
D1,121.6,-121.6,180.0,top
D2,122.96,-99.2725,90.0,top
D3,118.55,-83.0,270.0,top
D4,122.915,-108.205,0.0,top
D5,179.5,-103.7,180.0,top
DNP1,133.83,-83.07,315.0,top
DNP2,163.7,-78.5,180.0,top
DNP3,157.2,-114.6,180.0,top
DNP4,163.7,-75.85,180.0,top
DNP5,176.225,-119.8,270.0,top
FLASH1,137.4,-107.7,0.0,top
J1,129.2,-121.66,0.0,top
J2,114.42,-121.15,90.0,top
J3,155.59,-121.8,90.0,top
J4,104.1,-99.61,0.0,top
J6,186.1,-99.41,0.0,top
L1,166.16,-77.185,90.0,top
L3,130.22,-81.3,0.0,top
L6,134.55,-81.65,45.0,top
Q1,121.265,-112.1525,90.0,top
Q2,173.49,-103.65,0.0,top
Q3,112.5125,-113.7,0.0,top
R1,122.255,-118.755,270.0,top
R12,118.835,-113.18,90.0,top
R14,127.35,-114.05,270.0,top
R15,121.2875,-116.0625,0.0,top
R16,122.96,-101.57,180.0,top
R17,129.95,-114.05,270.0,top
R18,129.4,-110.03,90.0,top
R19,118.825,-111.15,90.0,top
R2,128.3,-110.02,90.0,top
R20,123.765,-111.78,90.0,top
R21,122.925,-103.405,180.0,top
R22,113.88,-105.9275,180.0,top
R23,135.24,-86.125,180.0,top
R24,141.2,-89.7,0.0,top
R25,116.65,-82.1375,180.0,top
R26,130.37,-93.85,315.0,top
R27,124.48,-92.14,225.0,top
R28,131.8,-99.15,0.0,top
R29,127.525,-93.46,270.0,top
R3,165.7,-114.9,270.0,top
R30,126.52,-93.47,270.0,top
R4,159.61,-114.6,0.0,top
R5,170.45,-103.3,90.0,top
R6,161.4,-115.0,90.0,top
R7,115.225,-113.65,90.0,top
RESET1,137.4,-112.15,0.0,top
SW1,185.675,-112.385,180.0,top
U1,129.8,-88.0,0.0,top
U2,137.5,-99.8,90.0,top
U3,119.7675,-118.715,90.0,top
U4,117.1,-98.7,0.0,top
U5,157.7,-90.0,270.0,top
U6,115.1,-77.1675,0.0,top
U7,161.4,-107.2,270.0,top
Y1,120.45,-90.0,270.0,top
Y2,138.43,-87.445,270.0,top
